8MB 0 ? 8192 197575
8MB ? 0 8192 45112
16MB 0 ? 16384 306862
16MB ? 0 16384 44643
16MB 0 ? 16384 314448
16MB ? 0 16384 44701
16MB 0 ? 16384 374997
16MB ? 0 16384 146949
16MB 0 ? 16384 315486
16MB ? 0 16384 53953
16MB 0 ? 16384 340247
16MB ? 0 16384 46433
16MB 0 ? 16384 327698
16MB ? 0 16384 119361
16MB 0 ? 16384 332059
16MB ? 0 16384 44062
16MB 0 ? 16384 323676
16MB ? 0 16384 44370
16MB 0 ? 16384 373773
16MB ? 0 16384 52894
16MB 0 ? 16384 315413
16MB ? 0 16384 53239
16MB 0 ? 16384 314963
16MB ? 0 16384 52980
16MB 0 ? 16384 347858
16MB ? 0 16384 118057
16MB 0 ? 16384 315468
16MB ? 0 16384 44576
16MB 0 ? 16384 350162
16MB ? 0 16384 54067
16MB 0 ? 16384 331973
16MB ? 0 16384 45246
16MB 0 ? 16384 290594
16MB ? 0 16384 44342
16MB 0 ? 16384 340426
16MB ? 0 16384 45047
16MB 0 ? 16384 307079
16MB ? 0 16384 168548
16MB 0 ? 16384 323554
16MB ? 0 16384 111695
16MB 0 ? 16384 298810
16MB ? 0 16384 52940
32MB 0 ? 32768 573749
32MB ? 0 32768 44216
32MB 0 ? 32768 531130
32MB ? 0 32768 60957
32MB 0 ? 32768 506799
32MB ? 0 32768 94629
32MB 0 ? 32768 506586
32MB ? 0 32768 45315
32MB 0 ? 32768 515515
32MB ? 0 32768 120247
32MB 0 ? 32768 523199
32MB ? 0 32768 43809
32MB 0 ? 32768 507019
32MB ? 0 32768 119119
32MB 0 ? 32768 539692
32MB ? 0 32768 120099
32MB 0 ? 32768 523821
32MB ? 0 32768 52142
32MB 0 ? 32768 506751
32MB ? 0 32768 43758
32MB 0 ? 32768 507137
32MB ? 0 32768 118874
32MB 0 ? 32768 523300
32MB ? 0 32768 45664
32MB 0 ? 32768 523668
32MB ? 0 32768 43757
32MB 0 ? 32768 523651
32MB ? 0 32768 52302
32MB 0 ? 32768 516367
32MB ? 0 32768 43808
32MB 0 ? 32768 523612
32MB ? 0 32768 110950
32MB 0 ? 32768 531945
32MB ? 0 32768 52014
32MB 0 ? 32768 531658
32MB ? 0 32768 52487
32MB 0 ? 32768 539658
32MB ? 0 32768 43445
32MB 0 ? 32768 532069
32MB ? 0 32768 127526
64MB 0 ? 65536 939983
64MB ? 0 65536 45360
64MB 0 ? 65536 939665
64MB ? 0 65536 43754
64MB 0 ? 65536 965050
64MB ? 0 65536 102453
64MB 0 ? 65536 922935
64MB ? 0 65536 44184
64MB 0 ? 65536 948536
64MB ? 0 65536 210951
64MB 0 ? 65536 915177
64MB ? 0 65536 51842
64MB 0 ? 65536 939664
64MB ? 0 65536 43821
64MB 0 ? 65536 947926
64MB ? 0 65536 110566
64MB 0 ? 65536 899110
64MB ? 0 65536 45939
64MB 0 ? 65536 998451
64MB ? 0 65536 156070
64MB 0 ? 65536 1032159
64MB ? 0 65536 152510
64MB 0 ? 65536 998381
64MB ? 0 65536 68789
64MB 0 ? 65536 990261
64MB ? 0 65536 119066
64MB 0 ? 65536 972984
64MB ? 0 65536 51645
64MB 0 ? 65536 1006875
64MB ? 0 65536 60310
64MB 0 ? 65536 1031659
64MB ? 0 65536 69563
64MB 0 ? 65536 982734
64MB ? 0 65536 77510
64MB 0 ? 65536 1015391
64MB ? 0 65536 229650
64MB 0 ? 65536 998584
64MB ? 0 65536 59971
64MB 0 ? 65536 923458
64MB ? 0 65536 111162
128MB 0 ? 131072 1731572
128MB ? 0 131072 60287
128MB 0 ? 131072 1781754
128MB ? 0 131072 118550
128MB 0 ? 131072 1774647
128MB ? 0 131072 143786
128MB 0 ? 131072 1773312
128MB ? 0 131072 52674
128MB 0 ? 131072 1731749
128MB ? 0 131072 118227
128MB 0 ? 131072 1748084
128MB ? 0 131072 148994
128MB 0 ? 131072 1739760
128MB ? 0 131072 114619
128MB 0 ? 131072 1790110
128MB ? 0 131072 160149
128MB 0 ? 131072 1731822
128MB ? 0 131072 126895
128MB 0 ? 131072 1673501
128MB ? 0 131072 59639
128MB 0 ? 131072 1772329
128MB ? 0 131072 118732
128MB 0 ? 131072 1741098
128MB ? 0 131072 125442
128MB 0 ? 131072 1698507
128MB ? 0 131072 119068
128MB 0 ? 131072 1697572
128MB ? 0 131072 177104
128MB 0 ? 131072 1739734
128MB ? 0 131072 123751
128MB 0 ? 131072 1731321
128MB ? 0 131072 60033
128MB 0 ? 131072 1714636
128MB ? 0 131072 127078
128MB 0 ? 131072 1747168
128MB ? 0 131072 137173
128MB 0 ? 131072 1739163
128MB ? 0 131072 51656
